Code,Wards (2016),Health Indicator,value
E05000061,West Finchley; Barnet,Emergency hospital admissions for all causes,80.6
E05000062,West Hendon; Barnet,Emergency hospital admissions for all causes,81.1
E05000063,Woodhouse; Barnet,Emergency hospital admissions for all causes,90.8
E05000064,Barnehurst; Bexley,Emergency hospital admissions for all causes,89.3
E05000065,Belvedere; Bexley,Emergency hospital admissions for all causes,95.9
E05000066,Blackfen and Lamorbey; Bexley,Emergency hospital admissions for all causes,76.6
E05000067,Blendon and Penhill; Bexley,Emergency hospital admissions for all causes,78.4
E05000068,Brampton; Bexley,Emergency hospital admissions for all causes,77.5
E05000069,Christchurch; Bexley,Emergency hospital admissions for all causes,82.1
E05000070,Colyers; Bexley,Emergency hospital admissions for all causes,103.7
E05000071,Crayford; Bexley,Emergency hospital admissions for all causes,109.4
E05000072,Cray Meadows; Bexley,Emergency hospital admissions for all causes,102.3
E05000073,Danson Park; Bexley,Emergency hospital admissions for all causes,78.7
E05000074,East Wickham; Bexley,Emergency hospital admissions for all causes,80.9
E05000075,Erith; Bexley,Emergency hospital admissions for all causes,103.7
E05000076,Falconwood and Welling; Bexley,Emergency hospital admissions for all causes,75.6
E05000077,Lesnes Abbey; Bexley,Emergency hospital admissions for all causes,88.3
E05000078,Longlands; Bexley,Emergency hospital admissions for all causes,87.8
E05000079,North End; Bexley,Emergency hospital admissions for all causes,125.0
E05000080,Northumberland Heath; Bexley,Emergency hospital admissions for all causes,90.5
E05000081,St Mary's; Bexley,Emergency hospital admissions for all causes,77.8
E05000082,St Michael's; Bexley,Emergency hospital admissions for all causes,81.6
E05000083,Sidcup; Bexley,Emergency hospital admissions for all causes,86.1
E05000084,Thamesmead East; Bexley,Emergency hospital admissions for all causes,93.4
E05000085,Alperton; Brent,Emergency hospital admissions for all causes,95.3
E05000086,Barnhill; Brent,Emergency hospital admissions for all causes,107.9
E05000087,Brondesbury Park; Brent,Emergency hospital admissions for all causes,86.7
E05000088,Dollis Hill; Brent,Emergency hospital admissions for all causes,95.8
E05000089,Dudden Hill; Brent,Emergency hospital admissions for all causes,93.5
E05000090,Fryent; Brent,Emergency hospital admissions for all causes,88.2
E05000091,Harlesden; Brent,Emergency hospital admissions for all causes,110.6
E05000092,Kensal Green; Brent,Emergency hospital admissions for all causes,99.8
E05000093,Kenton; Brent,Emergency hospital admissions for all causes,78.7
E05000094,Kilburn; Brent,Emergency hospital admissions for all causes,97.0
E05000095,Mapesbury; Brent,Emergency hospital admissions for all causes,87.8
E05000096,Northwick Park; Brent,Emergency hospital admissions for all causes,86.4
E05000097,Preston; Brent,Emergency hospital admissions for all causes,91.0
E05000098,Queens Park; Brent,Emergency hospital admissions for all causes,86.2
E05000099,Queensbury; Brent,Emergency hospital admissions for all causes,91.7
E05000100,Stonebridge; Brent,Emergency hospital admissions for all causes,127.3
E05000101,Sudbury; Brent,Emergency hospital admissions for all causes,95.0
E05000102,Tokyngton; Brent,Emergency hospital admissions for all causes,96.1
E05000103,Welsh Harp; Brent,Emergency hospital admissions for all causes,96.8
E05000104,Wembley Central; Brent,Emergency hospital admissions for all causes,95.4
E05000105,Willesden Green; Brent,Emergency hospital admissions for all causes,96.1
E05000106,Bickley; Bromley,Emergency hospital admissions for all causes,75.1
E05000107,Biggin Hill; Bromley,Emergency hospital admissions for all causes,76.4
E05000108,Bromley Common and Keston; Bromley,Emergency hospital admissions for all causes,89.6
E05000109,Bromley Town; Bromley,Emergency hospital admissions for all causes,77.4
E05000110,Chelsfield and Pratts Bottom; Bromley,Emergency hospital admissions for all causes,73.2
E05000111,Chislehurst; Bromley,Emergency hospital admissions for all causes,74.9
E05000112,Clock House; Bromley,Emergency hospital admissions for all causes,79.1
E05000113,Copers Cope; Bromley,Emergency hospital admissions for all causes,73.1
E05000114,Cray Valley East; Bromley,Emergency hospital admissions for all causes,94.4
E05000115,Cray Valley West; Bromley,Emergency hospital admissions for all causes,94.8
E05000116,Crystal Palace; Bromley,Emergency hospital admissions for all causes,94.4
E05000117,Darwin; Bromley,Emergency hospital admissions for all causes,83.1
E05000118,Farnborough and Crofton; Bromley,Emergency hospital admissions for all causes,78.0
E05000119,Hayes and Coney Hall; Bromley,Emergency hospital admissions for all causes,67.7
E05000120,Kelsey and Eden Park; Bromley,Emergency hospital admissions for all causes,73.7
E05000121,Mottingham and Chislehurst North; Bromley,Emergency hospital admissions for all causes,95.6
E05000122,Orpington; Bromley,Emergency hospital admissions for all causes,84.2
E05000123,Penge and Cator; Bromley,Emergency hospital admissions for all causes,97.2
E05000124,Petts Wood and Knoll; Bromley,Emergency hospital admissions for all causes,68.2
E05000125,Plaistow and Sundridge; Bromley,Emergency hospital admissions for all causes,87.2
E05000126,Shortlands; Bromley,Emergency hospital admissions for all causes,66.0
E05000127,West Wickham; Bromley,Emergency hospital admissions for all causes,69.1
E05000128,Belsize; Camden,Emergency hospital admissions for all causes,60.8
E05000129,Bloomsbury; Camden,Emergency hospital admissions for all causes,66.3
E05000130,Camden Town with Primrose Hill; Camden,Emergency hospital admissions for all causes,86.2
E05000131,Cantelowes; Camden,Emergency hospital admissions for all causes,90.1
E05000132,Fortune Green; Camden,Emergency hospital admissions for all causes,74.8
E05000133,Frognal and Fitzjohns; Camden,Emergency hospital admissions for all causes,50.7
E05000134,Gospel Oak; Camden,Emergency hospital admissions for all causes,88.0
E05000135,Hampstead Town; Camden,Emergency hospital admissions for all causes,52.6
E05000136,Haverstock; Camden,Emergency hospital admissions for all causes,93.3
E05000137,Highgate; Camden,Emergency hospital admissions for all causes,90.5
E05000138,Holborn and Covent Garden; Camden,Emergency hospital admissions for all causes,79.0
E05000139,Kentish Town; Camden,Emergency hospital admissions for all causes,93.4
E05000140,Kilburn; Camden,Emergency hospital admissions for all causes,104.9
E05000141,King's Cross; Camden,Emergency hospital admissions for all causes,86.9
E05000142,Regent's Park; Camden,Emergency hospital admissions for all causes,99.9
E05000143,St Pancras and Somers Town; Camden,Emergency hospital admissions for all causes,110.0
E05000144,Swiss Cottage; Camden,Emergency hospital admissions for all causes,62.6
E05000145,West Hampstead; Camden,Emergency hospital admissions for all causes,69.8
E05000146,Addiscombe; Croydon,Emergency hospital admissions for all causes,110.8
E05000147,Ashburton; Croydon,Emergency hospital admissions for all causes,94.0
E05000148,Bensham Manor; Croydon,Emergency hospital admissions for all causes,125.2
E05000149,Broad Green; Croydon,Emergency hospital admissions for all causes,126.1
E05000150,Coulsdon East; Croydon,Emergency hospital admissions for all causes,89.8
E05000151,Coulsdon West; Croydon,Emergency hospital admissions for all causes,86.8
E05000152,Croham; Croydon,Emergency hospital admissions for all causes,89.5
E05000153,Fairfield; Croydon,Emergency hospital admissions for all causes,106.2
E05000154,Fieldway; Croydon,Emergency hospital admissions for all causes,124.6
E05000155,Heathfield; Croydon,Emergency hospital admissions for all causes,86.4
E05000156,Kenley; Croydon,Emergency hospital admissions for all causes,91.9
E05000157,New Addington; Croydon,Emergency hospital admissions for all causes,132.0
E05000158,Norbury; Croydon,Emergency hospital admissions for all causes,109.7
E05000159,Purley; Croydon,Emergency hospital admissions for all causes,95.1
E05000160,Sanderstead; Croydon,Emergency hospital admissions for all causes,81.8
E05000161,Selhurst; Croydon,Emergency hospital admissions for all causes,133.8
E05000162,Selsdon and Ballards; Croydon,Emergency hospital admissions for all causes,86.3
E05000163,Shirley; Croydon,Emergency hospital admissions for all causes,80.3
E05000164,South Norwood; Croydon,Emergency hospital admissions for all causes,108.3
E05000165,Thornton Heath; Croydon,Emergency hospital admissions for all causes,115.8
E05000166,Upper Norwood; Croydon,Emergency hospital admissions for all causes,100.0
E05000167,Waddon; Croydon,Emergency hospital admissions for all causes,110.6
E05000168,West Thornton; Croydon,Emergency hospital admissions for all causes,121.2
E05000169,Woodside; Croydon,Emergency hospital admissions for all causes,117.1
E05000170,Acton Central; Ealing,Emergency hospital admissions for all causes,105.0
E05000171,Cleveland; Ealing,Emergency hospital admissions for all causes,97.8
E05000172,Dormers Wells; Ealing,Emergency hospital admissions for all causes,136.8
E05000173,Ealing Broadway; Ealing,Emergency hospital admissions for all causes,89.1
E05000174,Ealing Common; Ealing,Emergency hospital admissions for all causes,97.1
E05000175,East Acton; Ealing,Emergency hospital admissions for all causes,104.5
E05000176,Elthorne; Ealing,Emergency hospital admissions for all causes,111.4
E05000177,Greenford Broadway; Ealing,Emergency hospital admissions for all causes,127.7
E05000178,Greenford Green; Ealing,Emergency hospital admissions for all causes,106.5
E05000179,Hanger Hill; Ealing,Emergency hospital admissions for all causes,84.5
E05000180,Hobbayne; Ealing,Emergency hospital admissions for all causes,118.2
E05000181,Lady Margaret; Ealing,Emergency hospital admissions for all causes,138.6
E05000182,Northfield; Ealing,Emergency hospital admissions for all causes,87.7
E05000183,North Greenford; Ealing,Emergency hospital admissions for all causes,88.0
E05000184,Northolt Mandeville; Ealing,Emergency hospital admissions for all causes,104.1
E05000185,Northolt West End; Ealing,Emergency hospital admissions for all causes,124.1
E05000186,Norwood Green; Ealing,Emergency hospital admissions for all causes,142.4
E05000187,Perivale; Ealing,Emergency hospital admissions for all causes,89.3
E05000188,South Acton; Ealing,Emergency hospital admissions for all causes,109.3
E05000189,Southall Broadway; Ealing,Emergency hospital admissions for all causes,153.3
E05000190,Southall Green; Ealing,Emergency hospital admissions for all causes,146.8
E05000191,Southfield; Ealing,Emergency hospital admissions for all causes,82.5
E05000192,Walpole; Ealing,Emergency hospital admissions for all causes,96.5
E05000193,Bowes; Enfield,Emergency hospital admissions for all causes,83.4
E05000194,Bush Hill Park; Enfield,Emergency hospital admissions for all causes,84.5
E05000195,Chase; Enfield,Emergency hospital admissions for all causes,93.4
E05000196,Cockfosters; Enfield,Emergency hospital admissions for all causes,80.6
E05000197,Edmonton Green; Enfield,Emergency hospital admissions for all causes,111.9
E05000198,Enfield Highway; Enfield,Emergency hospital admissions for all causes,97.6
E05000199,Enfield Lock; Enfield,Emergency hospital admissions for all causes,94.4
E05000200,Grange; Enfield,Emergency hospital admissions for all causes,74.4
E05000201,Haselbury; Enfield,Emergency hospital admissions for all causes,94.8
E05000202,Highlands; Enfield,Emergency hospital admissions for all causes,84.0
E05000203,Jubilee; Enfield,Emergency hospital admissions for all causes,95.7
E05000204,Lower Edmonton; Enfield,Emergency hospital admissions for all causes,104.1
E05000205,Palmers Green; Enfield,Emergency hospital admissions for all causes,85.7
E05000206,Ponders End; Enfield,Emergency hospital admissions for all causes,99.6
E05000207,Southbury; Enfield,Emergency hospital admissions for all causes,94.3
E05000208,Southgate; Enfield,Emergency hospital admissions for all causes,79.7
E05000209,Southgate Green; Enfield,Emergency hospital admissions for all causes,76.8
E05000210,Town; Enfield,Emergency hospital admissions for all causes,86.2
E05000211,Turkey Street; Enfield,Emergency hospital admissions for all causes,102.9
E05000212,Upper Edmonton; Enfield,Emergency hospital admissions for all causes,102.8
E05000213,Winchmore Hill; Enfield,Emergency hospital admissions for all causes,74.7
E05000214,Abbey Wood; Greenwich,Emergency hospital admissions for all causes,104.9
E05000215,Blackheath Westcombe; Greenwich,Emergency hospital admissions for all causes,73.7
E05000216,Charlton; Greenwich,Emergency hospital admissions for all causes,103.1
E05000217,Coldharbour and New Eltham; Greenwich,Emergency hospital admissions for all causes,88.7
E05000218,Eltham North; Greenwich,Emergency hospital admissions for all causes,76.4
E05000219,Eltham South; Greenwich,Emergency hospital admissions for all causes,83.2
E05000220,Eltham West; Greenwich,Emergency hospital admissions for all causes,104.7
E05000221,Glyndon; Greenwich,Emergency hospital admissions for all causes,101.9
E05000222,Greenwich West; Greenwich,Emergency hospital admissions for all causes,86.0
E05000223,Kidbrooke with Hornfair; Greenwich,Emergency hospital admissions for all causes,98.9
E05000224,Middle Park and Sutcliffe; Greenwich,Emergency hospital admissions for all causes,100.5
E05000225,Peninsula; Greenwich,Emergency hospital admissions for all causes,86.4
E05000226,Plumstead; Greenwich,Emergency hospital admissions for all causes,102.6
E05000227,Shooters Hill; Greenwich,Emergency hospital admissions for all causes,88.4
E05000228,Thamesmead Moorings; Greenwich,Emergency hospital admissions for all causes,95.7
E05000229,Woolwich Common; Greenwich,Emergency hospital admissions for all causes,110.2
E05000230,Woolwich Riverside; Greenwich,Emergency hospital admissions for all causes,99.9
E05000250,Addison; Hammersmith and Fulham,Emergency hospital admissions for all causes,99.3
E05000251,Askew; Hammersmith and Fulham,Emergency hospital admissions for all causes,115.8
E05000252,Avonmore and Brook Green; Hammersmith and Fulham,Emergency hospital admissions for all causes,92.0
E05000253,College Park and Old Oak; Hammersmith and Fulham,Emergency hospital admissions for all causes,128.9
E05000254,Fulham Broadway; Hammersmith and Fulham,Emergency hospital admissions for all causes,116.0
E05000255,Fulham Reach; Hammersmith and Fulham,Emergency hospital admissions for all causes,109.0
E05000256,Hammersmith Broadway; Hammersmith and Fulham,Emergency hospital admissions for all causes,119.2
E05000257,Munster; Hammersmith and Fulham,Emergency hospital admissions for all causes,89.7
E05000258,North End; Hammersmith and Fulham,Emergency hospital admissions for all causes,111.4
E05000259,Palace Riverside; Hammersmith and Fulham,Emergency hospital admissions for all causes,88.3
E05000260,Parsons Green and Walham; Hammersmith and Fulham,Emergency hospital admissions for all causes,87.4
E05000261,Ravenscourt Park; Hammersmith and Fulham,Emergency hospital admissions for all causes,114.0
E05000262,Sands End; Hammersmith and Fulham,Emergency hospital admissions for all causes,95.5
E05000263,Shepherd's Bush Green; Hammersmith and Fulham,Emergency hospital admissions for all causes,122.8
E05000264,Town; Hammersmith and Fulham,Emergency hospital admissions for all causes,89.7
E05000265,Wormholt and White City; Hammersmith and Fulham,Emergency hospital admissions for all causes,120.0
E05000266,Alexandra; Haringey,Emergency hospital admissions for all causes,74.2
E05000267,Bounds Green; Haringey,Emergency hospital admissions for all causes,85.4
E05000268,Bruce Grove; Haringey,Emergency hospital admissions for all causes,106.9
E05000269,Crouch End; Haringey,Emergency hospital admissions for all causes,80.9
E05000270,Fortis Green; Haringey,Emergency hospital admissions for all causes,85.3
E05000271,Harringay; Haringey,Emergency hospital admissions for all causes,86.1
E05000272,Highgate; Haringey,Emergency hospital admissions for all causes,72.9
E05000273,Hornsey; Haringey,Emergency hospital admissions for all causes,109.2
E05000274,Muswell Hill; Haringey,Emergency hospital admissions for all causes,81.5
E05000275,Noel Park; Haringey,Emergency hospital admissions for all causes,99.4
E05000276,Northumberland Park; Haringey,Emergency hospital admissions for all causes,119.3
E05000277,St Ann's; Haringey,Emergency hospital admissions for all causes,98.7
E05000278,Seven Sisters; Haringey,Emergency hospital admissions for all causes,93.6
E05000279,Stroud Green; Haringey,Emergency hospital admissions for all causes,89.5
E05000280,Tottenham Green; Haringey,Emergency hospital admissions for all causes,121.9
E05000281,Tottenham Hale; Haringey,Emergency hospital admissions for all causes,98.6
E05000282,West Green; Haringey,Emergency hospital admissions for all causes,99.1
E05000283,White Hart Lane; Haringey,Emergency hospital admissions for all causes,106.6
E05000284,Woodside; Haringey,Emergency hospital admissions for all causes,89.9
E05000285,Belmont; Harrow,Emergency hospital admissions for all causes,75.1
E05000286,Canons; Harrow,Emergency hospital admissions for all causes,81.1
E05000287,Edgware; Harrow,Emergency hospital admissions for all causes,89.4
E05000288,Greenhill; Harrow,Emergency hospital admissions for all causes,101.4
E05000289,Harrow on the Hill; Harrow,Emergency hospital admissions for all causes,80.4
E05000290,Harrow Weald; Harrow,Emergency hospital admissions for all causes,97.5
E05000291,Hatch End; Harrow,Emergency hospital admissions for all causes,88.2
E05000292,Headstone North; Harrow,Emergency hospital admissions for all causes,78.9
E05000293,Headstone South; Harrow,Emergency hospital admissions for all causes,81.2
E05000294,Kenton East; Harrow,Emergency hospital admissions for all causes,88.6
E05000295,Kenton West; Harrow,Emergency hospital admissions for all causes,83.5
E05000296,Marlborough; Harrow,Emergency hospital admissions for all causes,96.9
E05000297,Pinner; Harrow,Emergency hospital admissions for all causes,84.4
E05000298,Pinner South; Harrow,Emergency hospital admissions for all causes,72.3
E05000299,Queensbury; Harrow,Emergency hospital admissions for all causes,81.8
E05000300,Rayners Lane; Harrow,Emergency hospital admissions for all causes,78.6
E05000301,Roxbourne; Harrow,Emergency hospital admissions for all causes,97.1
E05000302,Roxeth; Harrow,Emergency hospital admissions for all causes,92.7
E05000303,Stanmore Park; Harrow,Emergency hospital admissions for all causes,80.8
E05000304,Wealdstone; Harrow,Emergency hospital admissions for all causes,101.0
E05000305,West Harrow; Harrow,Emergency hospital admissions for all causes,85.3
E05000306,Brooklands; Havering,Emergency hospital admissions for all causes,99.9
E05000307,Cranham; Havering,Emergency hospital admissions for all causes,75.9
E05000308,Elm Park; Havering,Emergency hospital admissions for all causes,90.9
E05000309,Emerson Park; Havering,Emergency hospital admissions for all causes,72.2
E05000310,Gooshays; Havering,Emergency hospital admissions for all causes,111.6
E05000311,Hacton; Havering,Emergency hospital admissions for all causes,79.5
E05000312,Harold Wood; Havering,Emergency hospital admissions for all causes,94.0
E05000313,Havering Park; Havering,Emergency hospital admissions for all causes,99.0
E05000314,Heaton; Havering,Emergency hospital admissions for all causes,111.8
E05000315,Hylands; Havering,Emergency hospital admissions for all causes,84.3
E05000316,Mawneys; Havering,Emergency hospital admissions for all causes,92.8
E05000317,Pettits; Havering,Emergency hospital admissions for all causes,80.6
E05000318,Rainham and Wennington; Havering,Emergency hospital admissions for all causes,88.9
E05000319,Romford Town; Havering,Emergency hospital admissions for all causes,93.9
E05000320,St Andrew's; Havering,Emergency hospital admissions for all causes,81.5
E05000321,South Hornchurch; Havering,Emergency hospital admissions for all causes,97.4
E05000322,Squirrel's Heath; Havering,Emergency hospital admissions for all causes,83.4
E05000323,Upminster; Havering,Emergency hospital admissions for all causes,67.0
E05000324,Barnhill; Hillingdon,Emergency hospital admissions for all causes,117.3
E05000325,Botwell; Hillingdon,Emergency hospital admissions for all causes,126.6
E05000326,Brunel; Hillingdon,Emergency hospital admissions for all causes,107.2
E05000327,Cavendish; Hillingdon,Emergency hospital admissions for all causes,82.1
E05000328,Charville; Hillingdon,Emergency hospital admissions for all causes,111.5
E05000329,Eastcote and East Ruislip; Hillingdon,Emergency hospital admissions for all causes,79.7
E05000330,Harefield; Hillingdon,Emergency hospital admissions for all causes,113.4
E05000331,Heathrow Villages; Hillingdon,Emergency hospital admissions for all causes,118.3
E05000332,Hillingdon East; Hillingdon,Emergency hospital admissions for all causes,102.9
E05000333,Ickenham; Hillingdon,Emergency hospital admissions for all causes,79.6
E05000334,Manor; Hillingdon,Emergency hospital admissions for all causes,90.2
E05000335,Northwood; Hillingdon,Emergency hospital admissions for all causes,93.5
E05000336,Northwood Hills; Hillingdon,Emergency hospital admissions for all causes,91.1
E05000337,Pinkwell; Hillingdon,Emergency hospital admissions for all causes,110.8
E05000338,South Ruislip; Hillingdon,Emergency hospital admissions for all causes,92.5
E05000339,Townfield; Hillingdon,Emergency hospital admissions for all causes,126.4
E05000340,Uxbridge North; Hillingdon,Emergency hospital admissions for all causes,92.1
E05000341,Uxbridge South; Hillingdon,Emergency hospital admissions for all causes,91.9
E05000342,West Drayton; Hillingdon,Emergency hospital admissions for all causes,119.7
E05000343,West Ruislip; Hillingdon,Emergency hospital admissions for all causes,97.5
E05000344,Yeading; Hillingdon,Emergency hospital admissions for all causes,114.0
E05000345,Yiewsley; Hillingdon,Emergency hospital admissions for all causes,120.6
E05000346,Bedfont; Hounslow,Emergency hospital admissions for all causes,113.2
E05000347,Brentford; Hounslow,Emergency hospital admissions for all causes,111.5
E05000348,Chiswick Homefields; Hounslow,Emergency hospital admissions for all causes,81.2
E05000349,Chiswick Riverside; Hounslow,Emergency hospital admissions for all causes,86.9
E05000350,Cranford; Hounslow,Emergency hospital admissions for all causes,113.9
E05000351,Feltham North; Hounslow,Emergency hospital admissions for all causes,112.5
E05000352,Feltham West; Hounslow,Emergency hospital admissions for all causes,99.1
E05000353,Hanworth; Hounslow,Emergency hospital admissions for all causes,109.4
E05000354,Hanworth Park; Hounslow,Emergency hospital admissions for all causes,109.5
E05000355,Heston Central; Hounslow,Emergency hospital admissions for all causes,112.5
E05000356,Heston East; Hounslow,Emergency hospital admissions for all causes,108.6
E05000357,Heston West; Hounslow,Emergency hospital admissions for all causes,119.0
E05000358,Hounslow Central; Hounslow,Emergency hospital admissions for all causes,99.3
E05000359,Hounslow Heath; Hounslow,Emergency hospital admissions for all causes,100.3
E05000360,Hounslow South; Hounslow,Emergency hospital admissions for all causes,95.4
E05000361,Hounslow West; Hounslow,Emergency hospital admissions for all causes,114.8
E05000362,Isleworth; Hounslow,Emergency hospital admissions for all causes,106.9
E05000363,Osterley and Spring Grove; Hounslow,Emergency hospital admissions for all causes,93.6
E05000364,Syon; Hounslow,Emergency hospital admissions for all causes,106.5
E05000365,Turnham Green; Hounslow,Emergency hospital admissions for all causes,84.9
E05000366,Barnsbury; Islington,Emergency hospital admissions for all causes,89.1
E05000367,Bunhill; Islington,Emergency hospital admissions for all causes,84.7
E05000368,Caledonian; Islington,Emergency hospital admissions for all causes,102.6
E05000369,Canonbury; Islington,Emergency hospital admissions for all causes,100.0
E05000370,Clerkenwell; Islington,Emergency hospital admissions for all causes,79.9
E05000371,Finsbury Park; Islington,Emergency hospital admissions for all causes,116.1
E05000372,Highbury East; Islington,Emergency hospital admissions for all causes,90.9
E05000373,Highbury West; Islington,Emergency hospital admissions for all causes,91.5
E05000374,Hillrise; Islington,Emergency hospital admissions for all causes,113.6
E05000375,Holloway; Islington,Emergency hospital admissions for all causes,103.4
E05000376,Junction; Islington,Emergency hospital admissions for all causes,118.0
E05000377,Mildmay; Islington,Emergency hospital admissions for all causes,106.0
E05000378,St George's; Islington,Emergency hospital admissions for all causes,107.8
E05000379,St Mary's; Islington,Emergency hospital admissions for all causes,87.6
E05000380,St Peter's; Islington,Emergency hospital admissions for all causes,94.6
E05000381,Tollington; Islington,Emergency hospital admissions for all causes,114.3
E05000400,Alexandra; Kingston upon Thames,Emergency hospital admissions for all causes,74.6
E05000401,Berrylands; Kingston upon Thames,Emergency hospital admissions for all causes,72.4
E05000402,Beverley; Kingston upon Thames,Emergency hospital admissions for all causes,79.3
E05000403,Canbury; Kingston upon Thames,Emergency hospital admissions for all causes,69.2
E05000404,Chessington North and Hook; Kingston upon Thames,Emergency hospital admissions for all causes,87.3
E05000405,Chessington South; Kingston upon Thames,Emergency hospital admissions for all causes,86.5
E05000406,Coombe Hill; Kingston upon Thames,Emergency hospital admissions for all causes,70.0
E05000407,Coombe Vale; Kingston upon Thames,Emergency hospital admissions for all causes,81.5
E05000408,Grove; Kingston upon Thames,Emergency hospital admissions for all causes,68.8
E05000409,Norbiton; Kingston upon Thames,Emergency hospital admissions for all causes,87.0
E05000410,Old Malden; Kingston upon Thames,Emergency hospital admissions for all causes,76.2
E05000411,St James; Kingston upon Thames,Emergency hospital admissions for all causes,76.6
E05000412,St Mark's; Kingston upon Thames,Emergency hospital admissions for all causes,66.8
E05000413,Surbiton Hill; Kingston upon Thames,Emergency hospital admissions for all causes,75.6
E05000414,Tolworth and Hook Rise; Kingston upon Thames,Emergency hospital admissions for all causes,83.6
E05000415,Tudor; Kingston upon Thames,Emergency hospital admissions for all causes,67.2
E05000416,Bishop's; Lambeth,Emergency hospital admissions for all causes,107.6
E05000417,Brixton Hill; Lambeth,Emergency hospital admissions for all causes,94.3
E05000418,Clapham Common; Lambeth,Emergency hospital admissions for all causes,89.2
E05000419,Clapham Town; Lambeth,Emergency hospital admissions for all causes,91.9
E05000420,Coldharbour; Lambeth,Emergency hospital admissions for all causes,105.0
E05000421,Ferndale; Lambeth,Emergency hospital admissions for all causes,99.0
E05000422,Gipsy Hill; Lambeth,Emergency hospital admissions for all causes,102.3
E05000423,Herne Hill; Lambeth,Emergency hospital admissions for all causes,89.9
E05000424,Knight's Hill; Lambeth,Emergency hospital admissions for all causes,96.8
E05000425,Larkhall; Lambeth,Emergency hospital admissions for all causes,105.6
E05000426,Oval; Lambeth,Emergency hospital admissions for all causes,103.2
E05000427,Prince's; Lambeth,Emergency hospital admissions for all causes,119.1
E05000428,St Leonard's; Lambeth,Emergency hospital admissions for all causes,87.7
E05000429,Stockwell; Lambeth,Emergency hospital admissions for all causes,111.6
E05000430,Streatham Hill; Lambeth,Emergency hospital admissions for all causes,94.3
E05000431,Streatham South; Lambeth,Emergency hospital admissions for all causes,94.7
E05000432,Streatham Wells; Lambeth,Emergency hospital admissions for all causes,86.9
E05000433,Thornton; Lambeth,Emergency hospital admissions for all causes,92.1
E05000434,Thurlow Park; Lambeth,Emergency hospital admissions for all causes,88.1
E05000435,Tulse Hill; Lambeth,Emergency hospital admissions for all causes,96.3
E05000436,Vassall; Lambeth,Emergency hospital admissions for all causes,108.6
E05000437,Bellingham; Lewisham,Emergency hospital admissions for all causes,123.8
E05000438,Blackheath; Lewisham,Emergency hospital admissions for all causes,87.2
E05000439,Brockley; Lewisham,Emergency hospital admissions for all causes,93.5
E05000440,Catford South; Lewisham,Emergency hospital admissions for all causes,103.3
E05000441,Crofton Park; Lewisham,Emergency hospital admissions for all causes,93.9
E05000442,Downham; Lewisham,Emergency hospital admissions for all causes,112.4
E05000443,Evelyn; Lewisham,Emergency hospital admissions for all causes,98.8
